Row,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure__L--l_R--r_,1.15032,1.090001,0.9209247,0.9209247,0.5108222,0.3922565,0.8671495,0.8438765,0.4081228,0.3682146
intensity__L--l_R--r_,37.60791,11.46168,26.22309,26.22309,8.092119,4.757174,23.24805,21.78688,6.476019,5.319266
pressure__L--r_R--r_var1,1.200023,1.069521,0.8959889,0.8959889,0.2471173,0.8669894,0.6593465,0.8860334,0.3342983,0.4469213
intensity__L--r_R--r_var1,40.85098,11.03772,24.58679,24.58679,2.256485,22.92991,13.31459,24.26519,4.070817,7.758052
pressure__L--r_R--r_2_,1.076916,1.01964,0.884632,0.884632,0.4581079,0.5471961,0.8652321,0.8243504,0.4258187,0.4046887
intensity__L--r_R--r_2_,33.02502,10.03061,23.89944,23.89944,6.979334,9.769191,23.13136,20.91563,6.676865,6.247633
pressure__L--r_R--r-x_,1.121681,1.238417,0.8120193,0.8120193,0.3683474,0.2746522,0.4839315,0.8120193,0.2767285,0.4072118
intensity__L--r_R--r-x_,35.94154,14.79962,20.41795,20.41795,4.242026,2.73312,7.173464,20.41795,2.655667,6.345845
pressure__L--l+x_R--r+x_,0.9739118,0.9752244,0.9200357,0.9200357,0.4612563,0.3512319,0.8481738,0.8139776,0.3912033,0.3495687
intensity__L--l+x_R--r+x_,26.99076,9.175258,26.17193,26.17193,6.629154,3.814308,21.96408,20.24657,5.922862,4.819267
pressure__L+z--l+x+z_R+z--r+x+z_,0.9502882,0.9729475,0.9307324,0.9307324,0.5118343,0.4334349,0.8788831,0.8264103,0.4183979,0.3905545
intensity__L+z--l+x+z_R+z--r+x+z_,25.61484,9.132116,26.78369,26.78369,8.198857,5.808287,23.58017,20.88047,6.699482,5.784694
