,sub-001,sub-002,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-010
stim_pressure_max_scalp,0.8533825,0.986923,0.9657505,0.9985047,1.03083,1.151648,0.9982752,1.016526,0.8833297
stim_pressure_max_target,0.4203266,0.4036827,0.5744534,0.5390192,0.2600607,0.3748902,0.1028713,0.7985979,0.5098905
stim_pressure_max_offtarget,0.7412413,1.019204,1.072024,1.172104,0.950147,0.9929943,1.033119,0.9930891,0.8465785
stim_pressure_avg_target,0.1446023,0.2046109,0.2599917,0.1409298,0.1373745,0.1647605,0.02485419,0.356528,0.1716991
stim_pressure_avg_scalp,0.03921223,0.03437536,0.04328017,0.04085163,0.0372472,0.03862949,0.04031682,0.03859653,0.03909234
stim_pressure_avg_offtarget,0.07442727,0.08529861,0.08809086,0.09171394,0.07953348,0.07503157,0.08514755,0.08584581,0.08852255
stim_pressure_95_brain,0.278831,0.3165234,0.3046406,0.3246293,0.2943328,0.2825809,0.2860759,0.3210006,0.3014858
stim_pressure_95_scalp,0.2076863,0.1622187,0.2217523,0.1999179,0.1849362,0.1906988,0.1935194,0.1936712,0.195526
stim_mechanicalindex_max_whole,2.191159,2.073982,1.971493,2.13996,2.97436,2.102612,2.220799,2.286211,1.960605
stim_mechanicalindex_max_brain,1.353315,1.860803,1.95724,2.13996,1.734723,1.812951,1.886209,1.813124,1.545634
stim_mechanicalindex_max_scalp,1.558056,1.801867,1.763211,1.823012,1.882029,2.102612,1.822593,1.855915,1.612732
stim_FWHM_in_ROI_perc,0.1869282,0.1835885,0.1177025,0.1771058,0.1677411,0.1867439,0.1562939,0.1730108,0.1683438
stim_pressure_max_FW,1.510827,1.65637,1.695693,1.648344,1.599886,1.50652,1.632021,1.700661,1.414825
stim_intensity_max_FW,76.5459,92.00404,96.42439,91.11465,85.83618,76.11005,89.31904,96.99022,67.12705
stim_mechanicalindex_max_FW,2.75838,3.024103,3.095898,3.009451,2.920979,2.750516,2.97965,3.104968,2.583105
sham_pressure_max_brain,0.2663195,0.2905616,0.3118986,0.3385295,0.2875231,0.2621873,0.3339272,0.3094956,0.3547914
sham_pressure_max_scalp,0.7172811,0.7404829,0.773267,0.7822676,0.8988079,0.7239102,0.8692541,0.8474291,0.7883382
sham_pressure_max_target,0.1878955,0.237065,0.2264091,0.2139013,0.2336272,0.1844997,0.06254288,0.1977016,0.2591828
sham_pressure_max_offtarget,0.2663195,0.2905616,0.3118986,0.3385295,0.2875231,0.2621873,0.3339272,0.3094956,0.3547914
sham_pressure_avg_target,0.1197535,0.1057619,0.1409523,0.1136084,0.1018343,0.1065622,0.03069192,0.1063468,0.1487234
sham_pressure_avg_scalp,0.03008445,0.02304707,0.02900409,0.02649128,0.02902898,0.03366746,0.02983769,0.02545028,0.02838903
sham_pressure_avg_offtarget,0.04604955,0.04458285,0.0494349,0.04951587,0.0459129,0.04554346,0.04787291,0.04887993,0.05454093
sham_pressure_95_brain,0.1183534,0.1288504,0.1270785,0.1312705,0.1196259,0.1166336,0.1214058,0.1296052,0.1349835
sham_pressure_95_scalp,0.1416028,0.1105942,0.1365696,0.129417,0.1377293,0.1472662,0.1375877,0.1218982,0.1357527
sham_mechanicalindex_max_whole,1.459705,1.5266,1.412553,1.457312,1.640991,1.636213,1.587034,1.547187,1.508686
sham_mechanicalindex_max_brain,0.4862307,0.5304904,0.5694464,0.6180675,0.5249429,0.4786863,0.6096649,0.565059,0.6477576
sham_mechanicalindex_max_scalp,1.30957,1.351931,1.411786,1.428219,1.640991,1.321673,1.587034,1.547187,1.439302
sham_FWHM_in_ROI_perc,0.1779171,0.1841655,0.1319072,0.19108,0.1599385,0.1312994,0.1171377,0.195732,0.1823293
sham_pressure_max_FW,0.742328,0.8722342,0.8050272,0.8031386,0.7704204,0.8187699,0.9800335,0.809312,0.7980496
sham_intensity_max_FW,18.47924,25.51283,21.73269,21.63084,19.90434,22.48103,32.20877,21.96465,21.35758
sham_mechanicalindex_max_FW,1.355299,1.592475,1.469772,1.466324,1.406589,1.494863,1.789288,1.477595,1.457033
