Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure__L+y+z--l+z_R+y+z--r+z_,3,0.8576537,0.6846395,0.5789518,0.5789518,0.03641004,0.3277121,0.4972615,0.538959,0.243471,0.2376005
intensity__L+y+z--l+z_R+y+z--r+z_,3,20.88828,8.229233,10.24969,10.24969,0.08361939,3.270933,7.589276,8.950184,2.227413,2.217063
mechanicalindex__L+y+z--l+z_R+y+z--r+z_,3,1.565854,1.249975,1.057017,1.057017,0.06647534,0.5983179,0.9078711,0.9839999,0.4445151,0.4337972
pressure__L+y+z--l+z_R+y+z--r+z_var1,3,0.8428959,0.6837083,0.5890004,0.5890004,0.1495868,0.3909883,0.5008709,0.556484,0.2353177,0.2409169
intensity__L+y+z--l+z_R+y+z--r+z_var1,3,20.18861,8.994938,10.70671,10.70671,0.8941406,4.730938,7.68809,9.567232,2.103169,2.323387
mechanicalindex__L+y+z--l+z_R+y+z--r+z_var1,3,1.53891,1.248275,1.075363,1.075363,0.2731068,0.7138436,0.9144611,1.015996,0.4296294,0.4398522
pressure__L+y+z--l+z_R+y+z--r+z_var3,3,0.8224214,0.647955,0.5867572,0.5867572,0.1187326,0.2955047,0.3666346,0.5175266,0.1829877,0.2012912
intensity__L+y+z--l+z_R+y+z--r+z_var3,3,19.23063,9.66308,10.63135,10.63135,0.4360878,2.696844,4.102743,8.264897,1.214864,1.669029
mechanicalindex__L+y+z--l+z_R+y+z--r+z_var3,3,1.501529,1.182999,1.071267,1.071267,0.2167751,0.5395154,0.6693802,0.9448701,0.3340884,0.3675059
pressure__L+y+z--l+z_R+y+z--r+z_var5,3,0.8552322,0.7331378,0.5870715,0.5870715,0.1914383,0.2490254,0.3754267,0.5415911,0.2037398,0.2309483
intensity__L+y+z--l+z_R+y+z--r+z_var5,3,20.75799,13.79937,10.65973,10.65973,1.175299,1.912197,4.362301,9.076707,1.491279,2.092993
mechanicalindex__L+y+z--l+z_R+y+z--r+z_var5,3,1.561433,1.338521,1.071841,1.071841,0.349517,0.4546562,0.6854323,0.9888056,0.3719763,0.421652
pressure__L+y+z--r+z_R+y+z--r+z_,3,0.8558683,0.6705403,0.5792958,0.5792958,0.1241602,0.2814508,0.3822707,0.4914331,0.2194406,0.1900935
intensity__L+y+z--r+z_R+y+z--r+z_,3,20.81957,7.285269,10.31658,10.31658,0.5291626,2.422278,4.516951,7.388036,1.76676,1.456477
mechanicalindex__L+y+z--r+z_R+y+z--r+z_,3,1.562595,1.224234,1.057645,1.057645,0.2266844,0.5138566,0.6979275,0.89723,0.400642,0.3470617
pressure__L+y+z--r+z_R+y+z--r+z_var1,3,0.9045654,0.8076344,0.5948151,0.5948151,0.07053071,0.3163225,0.3959391,0.5275471,0.2152409,0.2096436
intensity__L+y+z--r+z_R+y+z--r+z_var1,3,23.27406,13.10951,10.89203,10.89203,0.1002994,3.084282,4.827387,8.520766,1.710937,1.725415
mechanicalindex__L+y+z--r+z_R+y+z--r+z_var1,3,1.651503,1.474532,1.085979,1.085979,0.1287709,0.5775232,0.7228826,0.9631649,0.3929743,0.382755
pressure__L+y+z--r+z_R+y+z--r+z_var3,3,0.7973355,0.7787164,0.5643498,0.5643498,0.1813695,0.2429179,0.358697,0.4756135,0.1964983,0.180519
intensity__L+y+z--r+z_R+y+z--r+z_var3,3,18.06157,16.7407,9.815572,9.815572,1.010154,1.824424,3.960611,6.925678,1.452185,1.286117
mechanicalindex__L+y+z--r+z_R+y+z--r+z_var3,3,1.455729,1.421735,1.030357,1.030357,0.3311338,0.4435053,0.6548881,0.8683474,0.3587551,0.3295811
pressure__L+y+z--r+z_R+y+z--r+z_var5,3,0.8782749,0.9448022,0.5684959,0.5684959,0.1062243,0.2884369,0.3746194,0.5328434,0.2216074,0.2062098
intensity__L+y+z--r+z_R+y+z--r+z_var5,3,23.44016,27.41575,9.919271,9.919271,0.331338,2.580092,4.293365,8.769508,1.800351,1.66246
mechanicalindex__L+y+z--r+z_R+y+z--r+z_var5,3,1.603503,1.724965,1.037927,1.037927,0.1939381,0.5266114,0.6839583,0.9728346,0.404598,0.3764859
pressure__L+y+z--l+z_R+y+z--l+z_,3,0.9189643,0.8263543,0.5616305,0.5616305,0.08509181,0.3616381,0.4635583,0.3960923,0.1960407,0.222795
intensity__L+y+z--l+z_R+y+z--l+z_,3,22.73112,8.267314,9.724865,9.724865,0.1955526,3.991071,6.579165,4.850974,1.458345,1.855222
mechanicalindex__L+y+z--l+z_R+y+z--l+z_,3,1.677792,1.50871,1.025392,1.025392,0.1553557,0.6602579,0.8463377,0.7231622,0.3579196,0.4067661
pressure__L+y+z--l+z_R+y+z--l+z_var1,3,0.9277592,0.8143124,0.5851524,0.5851524,0.1134727,0.3355789,0.452048,0.4430616,0.2080553,0.2239118
intensity__L+y+z--l+z_R+y+z--l+z_var1,3,26.48751,9.252906,10.58357,10.58357,0.4735454,3.495537,6.274924,6.064404,1.591234,1.934358
mechanicalindex__L+y+z--l+z_R+y+z--l+z_var1,3,1.693849,1.486724,1.068337,1.068337,0.2071718,0.6126804,0.8253229,0.8089162,0.3798552,0.4088051
pressure__L+y+z--l+z_R+y+z--l+z_var3,3,0.8486733,0.8207051,0.5385098,0.5385098,0.06292745,0.2857078,0.3890875,0.392005,0.1447374,0.1784931
intensity__L+y+z--l+z_R+y+z--l+z_var3,3,18.96186,9.783059,8.867573,8.867573,0.1154271,2.52397,4.622792,4.730075,0.8311862,1.23906
mechanicalindex__L+y+z--l+z_R+y+z--l+z_var3,3,1.549458,1.498396,0.98318,0.98318,0.1148893,0.5216288,0.7103734,0.7156999,0.2642531,0.3258824
pressure__L+y+z--l+z_R+y+z--l+z_var5,3,0.9449682,0.8069284,0.5047731,0.5047731,0.1116557,0.2853803,0.3884125,0.3965855,0.1631446,0.1908784
intensity__L+y+z--l+z_R+y+z--l+z_var5,3,28.24992,13.07409,8.016105,8.016105,0.4250242,2.515103,4.663095,4.860493,1.051224,1.377567
mechanicalindex__L+y+z--l+z_R+y+z--l+z_var5,3,1.725268,1.473243,0.9215853,0.9215853,0.2038545,0.5210307,0.709141,0.7240627,0.29786,0.3484947
