Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure__L+y-z--l-z_R+y-z--r-z_,5,0.7672923,0.7830521,0.5338315,0.5338315,0.4283302,0.348819,0.5109357,0.4328392,0.2946345,0.2365992
intensity__L+y-z--l-z_R+y-z--r-z_,5,16.72535,12.79536,8.785553,8.785553,5.694725,3.768905,8.072129,5.78404,2.996905,2.029471
mechanicalindex__L+y-z--l-z_R+y-z--r-z_,5,1.400878,1.429651,0.9746386,0.9746386,0.7820203,0.6368535,0.9328367,0.7902527,0.5379266,0.4319691
pressure__L+y-z--l-z_R+y-z--r-z_var1,5,0.7411122,0.7048976,0.5357761,0.5357761,0.230974,0.3277786,0.5357761,0.4569195,0.3034042,0.2425561
intensity__L+y-z--l-z_R+y-z--r-z_var1,5,15.63651,13.03209,8.863821,8.863821,1.602441,3.330421,8.863821,6.413252,3.146979,2.051235
mechanicalindex__L+y-z--l-z_R+y-z--r-z_var1,5,1.35308,1.286961,0.978189,0.978189,0.4216988,0.5984391,0.978189,0.8342171,0.5539377,0.4428447
pressure__L+y-z--l-z_R+y-z--r-z_var3,5,0.848945,0.7595678,0.5207629,0.5207629,0.2737021,0.2223641,0.4628831,0.3817704,0.2647139,0.1675176
intensity__L+y-z--l-z_R+y-z--r-z_var3,5,20.49683,13.82425,8.382523,8.382523,2.320356,1.531281,6.605707,4.487228,2.388946,1.112981
mechanicalindex__L+y-z--l-z_R+y-z--r-z_var3,5,1.549954,1.386775,0.9507787,0.9507787,0.4997094,0.4059793,0.8451051,0.6970142,0.4832993,0.305844
pressure__L+y-z--l-z_R+y-z--r-z_var5,5,0.8231325,0.7431358,0.534891,0.534891,0.2306814,0.3191035,0.4792764,0.4749713,0.3079664,0.1981395
intensity__L+y-z--l-z_R+y-z--r-z_var5,5,19.29507,13.81133,8.839838,8.839838,1.629581,3.146739,7.09829,7.101116,3.15243,1.562488
mechanicalindex__L+y-z--l-z_R+y-z--r-z_var5,5,1.502827,1.356774,0.9765729,0.9765729,0.4211647,0.5826007,0.875035,0.8671749,0.5622673,0.3617516
pressure__L+y-z--r-z_R+y-z--r-z_,5,0.7147936,0.6994985,0.6348231,0.6348231,0.2628639,0.4583382,0.4806716,0.5324582,0.2667981,0.2604001
intensity__L+y-z--r-z_R+y-z--r-z_,5,14.49867,7.89092,12.3449,12.3449,2.172338,6.458165,7.146353,8.76388,2.525545,2.622899
mechanicalindex__L+y-z--r-z_R+y-z--r-z_,5,1.305029,1.277104,1.159023,1.159023,0.4799215,0.8368073,0.8775824,0.9721312,0.4871046,0.4754232
pressure__L+y-z--r-z_R+y-z--r-z_var1,5,0.7615607,0.6020398,0.5959393,0.5959393,0.1291358,0.296202,0.4665467,0.5543361,0.2347056,0.2561178
intensity__L+y-z--r-z_R+y-z--r-z_var1,5,15.42655,6.836055,10.91269,10.91269,0.4764285,2.790201,6.727081,9.492616,1.992553,2.552816
mechanicalindex__L+y-z--r-z_R+y-z--r-z_var1,5,1.390413,1.099169,1.088031,1.088031,0.2357687,0.5407885,0.8517938,1.012075,0.4285119,0.4676049
pressure__L+y-z--r-z_R+y-z--r-z_var3,5,0.7263923,0.6752508,0.6186982,0.6186982,0.2528847,0.336306,0.4505164,0.5135431,0.2724645,0.2042497
intensity__L+y-z--r-z_R+y-z--r-z_var3,5,14.97924,6.441719,11.75494,11.75494,1.974157,3.463894,6.249156,8.138747,2.435935,1.711995
mechanicalindex__L+y-z--r-z_R+y-z--r-z_var3,5,1.326205,1.232834,1.129583,1.129583,0.4617021,0.6140079,0.8225267,0.9375972,0.49745,0.3729073
pressure__L+y-z--r-z_R+y-z--r-z_var5,5,0.7149119,0.7146949,0.6267709,0.6267709,0.2733603,0.372965,0.5068213,0.5363146,0.3181391,0.2441652
intensity__L+y-z--r-z_R+y-z--r-z_var5,5,14.5348,6.892224,12.03186,12.03186,2.313966,4.256629,7.939286,8.836454,3.308013,2.300561
mechanicalindex__L+y-z--r-z_R+y-z--r-z_var5,5,1.305245,1.304848,1.144322,1.144322,0.4990853,0.6809378,0.9253249,0.9791721,0.5808401,0.4457827
pressure__L+y-z--l-z_R+y-z--l-z_,5,0.7665788,0.7813604,0.5746086,0.5746086,0.4760414,0.3034718,0.5723539,0.4276735,0.2971795,0.207097
intensity__L+y-z--l-z_R+y-z--l-z_,5,16.69416,13.03361,10.20805,10.20805,6.997174,2.855968,10.14507,5.623742,3.227568,1.619476
mechanicalindex__L+y-z--l-z_R+y-z--l-z_,5,1.399575,1.426563,1.049087,1.049087,0.8691286,0.5540612,1.044971,0.7808213,0.5425732,0.3781056
pressure__L+y-z--l-z_R+y-z--l-z_var1,5,0.7364621,0.7146872,0.6171952,0.6171952,0.3228336,0.3104573,0.5995227,0.4305676,0.3133147,0.195037
intensity__L+y-z--l-z_R+y-z--l-z_var1,5,15.40672,13.55301,11.74856,11.74856,3.402065,2.962093,11.11216,5.712533,3.604691,1.429535
mechanicalindex__L+y-z--l-z_R+y-z--l-z_var1,5,1.34459,1.304834,1.126839,1.126839,0.5894108,0.5668149,1.094573,0.7861052,0.5720316,0.3560873
pressure__L+y-z--l-z_R+y-z--l-z_var3,5,0.8610358,0.736773,0.5747452,0.5747452,0.4091448,0.1706384,0.5644603,0.3886973,0.2613723,0.1713475
intensity__L+y-z--l-z_R+y-z--l-z_var3,5,21.08483,14.32027,10.12107,10.12107,5.146361,0.9320935,9.828742,4.667386,2.509948,1.140366
mechanicalindex__L+y-z--l-z_R+y-z--l-z_var3,5,1.572029,1.345157,1.049336,1.049336,0.7469927,0.3115416,1.030559,0.7096609,0.4771984,0.3128363
pressure__L+y-z--l-z_R+y-z--l-z_var5,5,0.8242313,0.7180715,0.5412955,0.5412955,0.3461697,0.3073066,0.5267392,0.5098813,0.3100271,0.2192815
intensity__L+y-z--l-z_R+y-z--l-z_var5,5,19.34771,13.67489,9.05747,9.05747,3.768795,2.937102,8.582117,8.01003,3.358191,1.878154
mechanicalindex__L+y-z--l-z_R+y-z--l-z_var5,5,1.504833,1.311013,0.9882659,0.9882659,0.6320165,0.5610625,0.9616898,0.9309117,0.5660294,0.4003514
