,Focal depths wrt exit plane (mm),,,,,,,,,,,,
Distance WRT Exit plane (mm),7.19,10,12.97,15,18.74,20,25,30,45,60,75,90,96.01
0,2.250706911,2.852433087,0.844040018,0.250332358,0.074304338,0.076714584,0.048641115,0.068441243,0.206680119,0.322842586,0.465480508,0.630317071,0.708592545
0.5,2.04334243,2.470542352,0.980977095,0.314192633,0.055547365,0.058597461,0.082280975,0.06678989,0.223252936,0.293992923,0.422055514,0.647093193,0.752936148
1,1.922963383,2.058858114,1.118073507,0.391764452,0.042881428,0.043600441,0.121166506,0.068999604,0.236022238,0.27148611,0.379156323,0.652288557,0.784446616
1.5,1.96498761,1.622121638,1.242904512,0.488920099,0.038202932,0.032993377,0.159469486,0.078226974,0.24142569,0.25840506,0.337748023,0.638477965,0.792211121
2,2.23604911,1.195571762,1.340059491,0.607846446,0.04307986,0.027660733,0.190247136,0.097071712,0.236874667,0.255917389,0.300156425,0.603361651,0.770363304
2.5,2.805546056,0.828596744,1.393978566,0.74409312,0.060925525,0.028526654,0.207260698,0.127170884,0.221659494,0.263388303,0.269341881,0.550448177,0.719855682
3,3.741635583,0.56134315,1.394795467,0.885866703,0.09772633,0.037700682,0.207091673,0.168097065,0.197618909,0.278660662,0.24810346,0.487918133,0.648368541
3.5,5.089155266,0.410222982,1.345090904,1.017202321,0.160193721,0.059539367,0.190726781,0.216429095,0.169071916,0.29852806,0.238609423,0.426162503,0.568289558
4,6.843226014,0.376365336,1.262974688,1.124224979,0.252103881,0.100181727,0.163510493,0.266080315,0.141671082,0.319448632,0.242232832,0.374893173,0.493199107
4.5,8.932703592,0.476271529,1.178650233,1.201141931,0.370978356,0.164925468,0.133105986,0.309981132,0.120673061,0.338360905,0.259414126,0.3410237,0.434270611
5,11.21759116,0.773110982,1.12716496,1.252943023,0.507078842,0.254561473,0.106580791,0.342246253,0.109826539,0.35339705,0.289344415,0.328138538,0.398353051
