,Focal depths wrt exit plane (mm),,,,,,,,,,
Distance WRT Exit plane (mm),11.41,15,20,23.91,25,30,45,60,75,90,92.51
0,2.415306729,1.76653771,0.492476243,0.080351219,0.033735781,0.077746984,0.032146093,0.08521535,0.148053993,0.089144068,0.080917079
0.5,2.691676385,2.146524347,0.472572052,0.073151118,0.032713761,0.07001517,0.062475194,0.089309673,0.172595273,0.171378513,0.169441296
1,2.920712886,2.573960002,0.460320039,0.065407239,0.030861277,0.065653241,0.098469554,0.095958784,0.194150917,0.267138702,0.276594166
1.5,3.058274801,3.03263971,0.464729832,0.058096132,0.028383245,0.066063171,0.13338638,0.107351555,0.209714469,0.357604978,0.381315001
2,3.079347125,3.487813929,0.494495332,0.052648434,0.025792002,0.071835115,0.160146857,0.125489012,0.218825232,0.425111289,0.462723549
2.5,2.98857871,3.884192421,0.558320868,0.050801158,0.023885255,0.082713669,0.173794523,0.151879539,0.224001815,0.459798112,0.50774613
3,2.822836067,4.153533831,0.664970004,0.05470756,0.023727055,0.09728627,0.173241926,0.186997465,0.229950612,0.462579785,0.51514291
3.5,2.643358137,4.231421318,0.821988003,0.067495196,0.026791205,0.1127338,0.161488767,0.229508078,0.242145905,0.443423708,0.494436685
4,2.520616245,4.077035114,1.032390468,0.094018976,0.035431939,0.125162099,0.144191312,0.275514655,0.265449968,0.416390078,0.460829775
4.5,2.520890141,3.688862744,1.289851475,0.14106889,0.053580837,0.13071146,0.127458799,0.318367238,0.302925005,0.394425173,0.429210541
5,2.702257729,3.11228166,1.574874072,0.216256703,0.087117249,0.12711152,0.11620124,0.349703215,0.354621357,0.386371014,0.410280718
5.5,3.11852322,2.435644135,1.855620103,0.325550334,0.143205214,0.114911927,0.113777374,0.361962911,0.416526579,0.396510301,0.409675477
6,3.82232184,1.770615203,2.095250274,0.470468737,0.228386443,0.097541468,0.122648387,0.351524392,0.48055298,0.425284523,0.428806443
6.5,4.85975804,1.218621402,2.262989016,0.646234693,0.345977862,0.079942823,0.145094291,0.320654765,0.536270144,0.469884675,0.465767334
7,6.254976845,0.839440033,2.343046775,0.841468552,0.493685619,0.066632014,0.18313085,0.276880184,0.573940934,0.524535444,0.515711061
7.5,7.98928908,0.645384915,2.337648681,1.039378668,0.66233506,0.060618371,0.237435682,0.230087152,0.587521549,0.581147003,0.571263641
8,9.985406679,0.630824739,2.265028862,1.220579612,0.836612485,0.06385617,0.305966068,0.189141056,0.576432339,0.630992621,0.623840802
8.5,12.10927357,0.818779781,2.15509475,1.367644397,0.99838155,0.07840895,0.383405579,0.159826707,0.545558605,0.667247992,0.666012816
9,14.19316716,1.288863753,2.044225568,1.47027581,1.1318478,0.106819818,0.462096243,0.144761814,0.503528545,0.687192451,0.693872411
9.5,16.06807948,2.161562198,1.969890731,1.528694127,1.228339428,0.150973243,0.534020133,0.144615314,0.459928324,0.692660065,0.707888655
10,17.58808242,3.544518114,1.966688309,1.553533147,1.288514558,0.210174789,0.592767266,0.159302938,0.422668127,0.68845184,0.711701444
10.5,18.64143943,5.47186232,2.065525072,1.56291413,1.321637922,0.279973925,0.634788202,0.188207828,0.396588931,0.679881656,0.709845468
11,19.15662303,7.870971558,2.295620072,1.578931948,1.343268395,0.352872833,0.659883856,0.229554644,0.383530768,0.67098727,0.705935076
11.5,19.10940548,10.57331499,2.686747469,1.625276346,1.372832248,0.420846535,0.671063253,0.279870195,0.383268925,0.664086284,0.702111478
12,18.52581912,13.35961689,3.268844821,1.726295451,1.431773676,0.478389625,0.673766502,0.334280892,0.394575754,0.660356133,0.699534364
12.5,17.47338729,16.01244023,4.067719999,1.906900826,1.542442854,0.524515233,0.674572898,0.387567702,0.41598291,0.66074351,0.699258682
13,16.04300904,18.35321791,5.097943376,2.19249919,1.727659026,0.562982917,0.679847664,0.435335436,0.446143615,0.666696999,0.70298092
13.5,14.33234376,20.25806496,6.355968597,2.608196944,2.010549534,0.60122912,0.69482172,0.474750632,0.483840912,0.680523088,0.713426178
14,12.43799606,21.65889064,7.816739332,3.176792703,2.413904302,0.649008602,0.72322566,0.504719416,0.527705571,0.705285237,0.734265421
14.5,10.45448529,22.53588797,9.434781589,3.915472113,2.958315046,0.717469509,0.767200758,0.525664894,0.57569282,0.744150429,0.769452578
15,8.474195606,22.90358884,11.14783182,4.831524699,3.65883231,0.818795994,0.827146117,0.539141409,0.624444085,0.799153525,0.821950914
15.5,6.585492664,22.79421763,12.88080739,5.918040603,4.520776969,0.966146889,0.901418899,0.54750351,0.668875362,0.869591891,0.89206622
16,4.869304527,22.24576557,14.55066323,7.151470415,5.536397149,1.173538031,0.986121678,0.553762919,0.702526595,0.950628818,0.975917393
16.5,3.394054668,21.29990105,16.07444105,8.493215738,6.684466365,1.45546573,1.075304528,0.561618081,0.719025611,1.032952324,1.06484887
17,2.207924068,20.007,17.38039096,9.895667952,7.93365498,1.826256505,1.161683018,0.575496257,0.714346952,1.1041736,1.146507124
17.5,1.329449545,18.43023643,18.41782522,11.3102389,9.248107235,2.299149567,1.23763773,0.600419551,0.688789337,1.15185387,1.207637394
18,0.741201234,16.64334779,19.16092044,12.69362273,10.59237743,2.885050391,1.296151637,0.641613493,0.647497075,1.167082295,1.237706525
18.5,0.392721252,14.72356747,19.60584609,14.01039317,11.93401083,3.591013961,1.331546058,0.703884555,0.599154856,1.147109914,1.231903223
19,0.215468195,12.74475397,19.76482818,15.23280629,13.24412723,4.418769983,1.340090327,0.790812033,0.553573557,1.095949751,1.192283764
19.5,0.145428662,10.77370127,19.66037921,16.3394208,14.49702075,5.363640786,1.320541711,0.903803241,0.519394931,1.022767043,1.126634249
20,0.142753479,8.86914429,19.32026074,17.31290449,15.66890972,6.413865411,1.274485307,1.041169727,0.502800509,0.93883057,1.045615612
20.5,0.197621411,7.081799173,18.77255775,18.13684058,16.73564049,7.550143494,1.206307573,1.197554751,0.507333823,0.854382409,0.959513852
21,0.319564652,5.454794103,18.04183694,18.79278286,17.67046995,8.745680989,1.122792215,1.364137765,0.534372088,0.776679544,0.875986563
21.5,0.518229893,4.024200747,17.14870733,19.26026972,18.44451218,9.967847831,1.032471668,1.529891991,0.583771125,0.709719765,0.799510337
22,0.787995328,2.818527884,16.11359673,19.52162004,19.03165987,11.18251144,0.944853722,1.683743088,0.654563724,0.655289107,0.732292036
22.5,1.104194593,1.855789876,14.96216534,19.56955706,19.41638284,12.36041094,0.869600467,1.816905082,0.745775852,0.614501605,0.675817285
23,1.43023161,1.138365339,13.72810785,19.41272194,19.59956721,13.48260748,0.815807389,1.924334774,0.857193853,0.589070935,0.632176115
23.5,1.72921892,0.648463151,12.45087666,19.07475352,19.59792184,14.5413987,0.791647275,2.004553363,0.989610664,0.581931502,0.604678985
24,1.973465497,0.34827789,11.16949921,18.58689001,19.43659383,15.53554473,0.80456256,2.057989108,1.144142322,0.597217977,0.597759703
24.5,2.148497077,0.187431535,9.916144749,17.97829376,19.13913575,16.46224271,0.861862917,2.084862499,1.32065851,0.639768008,0.61644612
25,2.252065868,0.116388789,8.712734604,17.26944657,18.72042629,17.31050837,0.971272333,2.083871743,1.515891953,0.714208256,0.665610056
25.5,2.29056824,0.100231066,7.571630924,16.47157496,18.18599789,18.05983175,1.140980405,2.052411366,1.722098716,0.823578278,0.748950506
26,2.275160082,0.125581652,6.499102718,15.59138417,17.53718532,18.68497477,1.379096664,1.988200274,1.92713361,0.967677343,0.867657336
26.5,2.218712369,0.196864191,5.499232723,14.6376198,16.77846867,19.16433539,1.692783712,1.891452944,2.116346842,1.141844346,1.019146246
27,2.133716509,0.32469221,4.576384085,13.62534746,15.92253597,19.48719531,2.08741006,1.766458682,2.275837449,1.337098082,1.196699296
27.5,2.030878315,0.513641002,3.735689068,12.57585201,14.99045536,19.65598397,2.56584539,1.621760378,2.395774114,1.54200099,1.390628653
28,1.9182697,0.755609318,2.982257246,11.51303132,14.00768459,19.68300435,3.127867837,1.468862838,2.472350547,1.745586358,1.590713718
28.5,1.801113525,1.030470323,2.320183493,10.4590363,12.9989743,19.58455926,3.769796799,1.320100986,2.507685074,1.940054331,1.788871408
29,1.6822349,1.311758979,1.751968632,9.431651202,11.98505242,19.37624923,4.484667779,1.186578399,2.50798639,2.122102204,1.980872006
29.5,1.56297796,1.573721377,1.278242476,8.443974718,10.98193272,19.07121361,5.263106854,1.076879109,2.480885449,2.292387123,2.166333027
30,1.444198806,1.796746628,0.897346099,7.505294938,10.00170725,18.68029521,6.094526318,0.996789477,2.432846698,2.453320245,2.346911296
30.5,1.326992823,1.969817738,0.604637927,6.62193434,9.053392992,18.21228094,6.967960896,0.949861713,2.367371083,2.60598802,2.523335225
31,1.213021107,2.090151271,0.391885886,5.797732585,8.14343356,17.67369074,7.872204711,0.93845866,2.284530163,2.747452396,2.692532307
31.5,1.104509019,2.161115567,0.247322701,5.034553433,7.276296794,17.06910052,8.795632836,0.964893929,2.182095759,2.86974051,2.846270742
32,1.004041739,2.189645658,0.156772126,4.333007967,6.45539043,16.40272898,9.726334318,1.032345036,2.057948164,2.961255136,2.97223566
32.5,0.914249706,2.183963851,0.105802154,3.693103712,5.683887602,15.68051319,10.65268982,1.145301849,1.912764143,3.010223095,3.057336531
33,0.837450962,2.151911644,0.08229379,3.114509231,4.964958839,14.91132239,11.56390529,1.309396138,1.751688464,3.008763038,3.091917514
33.5,0.775337525,2.099924876,0.078379915,2.596470267,4.301433177,14.10675203,12.45023885,1.530569074,1.584152129,2.955844188,3.073089877
34,0.728786186,2.032625824,0.090809376,2.137671026,3.695304662,13.28014728,13.30319617,1.813730067,1.421970049,2.85796463,3.00585993
34.5,0.697820819,1.952965927,0.119555654,1.736196279,3.147395599,12.4455218,14.116082,2.161289459,1.276672047,2.727359931,2.901655184
35,0.681671358,1.862718314,0.165449266,1.389568112,2.657185084,11.61635265,14.88456306,2.572078907,1.157230453,2.578433541,2.774796012
35.5,0.678845805,1.763048893,0.228052244,1.094779155,2.222746736,10.80399577,15.6063362,3.041088324,1.068961002,2.423753048,2.638238796
36,0.687179833,1.654989302,0.304652812,0.848340598,1.840883861,10.01614625,16.27975096,3.560247735,1.013741617,2.271117593,2.500200161
36.5,0.703915284,1.53978593,0.390514131,0.646382815,1.507571956,9.256323657,16.90241564,4.120175966,0.991179158,2.122748074,2.362920836
37,0.72588951,1.419154016,0.479916554,0.48476858,1.218627003,8.524855933,17.47088731,4.712441151,1.00016311,1.976720244,2.223858874
37.5,0.749862751,1.295377511,0.56734817,0.359141171,0.970295295,7.820738477,17.98126547,5.331417613,1.040312414,1.829837093,2.078622931
38,0.772916369,1.171174672,0.648358327,0.264905397,0.759501927,7.143206041,18.42957207,5.974786205,1.112952868,1.680636121,1.924338733
38.5,0.792813993,1.04935374,0.719904786,0.19725621,0.583716247,6.492446093,18.8114646,6.642346302,1.221401502,1.531317922,1.76212687
39,0.808256217,0.932437433,0.780304924,0.15138106,0.440604126,5.869771445,19.12222225,7.333808416,1.370478114,1.387933692,1.597804121
39.5,0.818999313,0.822432843,0.829012329,0.122840455,0.327655963,5.277705869,19.35817922,8.046832053,1.56533322,1.258941495,1.44065316
40,0.825798196,0.720779788,0.866372716,0.107988706,0.241913292,4.719875434,19.51908126,8.776150966,1.809838474,1.152901183,1.300882445
40.5,0.830123617,0.628385975,0.89337259,0.104242411,0.17987948,4.200291028,19.6093145,9.513793031,2.104933638,1.076361852,1.186927145
41,0.833676057,0.545674204,0.911343252,0.110063048,0.137686931,3.7220523,19.63642365,10.24981717,2.447506274,1.032743,1.103715626
41.5,0.8378512,0.472648573,0.92164477,0.12464949,0.111507469,3.28615876,19.60787936,10.97339477,2.830455996,1.022406118,1.052423869
